,churn,eqpdays,change_mou,hnd_price,change_rev
0,1,361.0,-157.25,149.98999019999997,-18.9975
1,0,240.0,532.25,99.98999023,50.9875
2,1,1504.0,-4.25,29.98999023,0.0
3,0,1812.0,-1.5,29.98999023,0.0
4,0,434.0,38.5,149.98999019999997,0.0
5,0,458.0,156.75,129.9899902,8.145
6,1,852.0,0.0,29.98999023,-0.155
7,0,231.0,147.5,79.98999023,-3.0625
8,0,700.0,198.0,29.98999023,23.2625
9,0,601.0,59.5,79.98999023,4.0275
10,0,464.0,23.5,79.98999023,6.8225
11,0,544.0,19.75,79.98999023,-0.315
12,0,388.0,42.75,199.98999019999997,2.35
13,0,354.0,-2.5,59.98999023,-0.225
14,0,199.0,-200.5,149.98999019999997,-106.765
15,0,697.0,201.5,79.98999023,-1.785
16,0,530.0,-16.25,29.98999023,0.2125
17,0,48.0,30.0,79.98999023,7.35
18,0,408.0,169.25,29.98999023,0.99
19,0,253.0,-58.0,129.9899902,-0.975
20,1,143.0,-1007.0,149.98999019999997,-72.45
21,1,162.0,-1134.5,129.9899902,-55.185
22,1,350.0,397.5,149.98999019999997,82.1325
23,1,652.0,-105.0,79.98999023,-0.215
24,0,752.0,-47.5,59.98999023,-0.5025
25,0,573.0,14.0,59.98999023,0.0
26,1,265.0,226.75,29.98999023,2.695
27,0,452.0,25.25,149.98999019999997,-1.6725
28,1,183.0,-563.0,99.98999023,-12.4425
29,0,319.0,32.5,59.98999023,-0.27
30,1,776.0,81.25,129.9899902,29.93
31,0,1395.0,-54.0,9.989997864,0.0
32,0,628.0,-10.75,149.98999019999997,-0.5625
33,0,138.0,-15.5,99.98999023,-4.16
34,0,917.0,41.25,29.98999023,0.0
35,0,258.0,-13.75,199.98999019999997,-0.1625
36,0,630.0,94.25,149.98999019999997,0.0
37,1,1570.0,26.25,29.98999023,3.0725
38,1,786.0,123.5,79.98999023,4.8375
39,1,179.0,54.5,29.98999023,8.5725
40,0,107.0,-184.0,199.98999019999997,-31.5625
41,0,616.0,-47.0,79.98999023,0.0
42,1,1155.0,3.0,29.98999023,-0.5325
43,1,1661.0,-3.75,29.98999023,0.0
44,1,1072.0,-42.75,9.989997864,0.0
45,1,864.0,-1.75,79.98999023,0.6
46,1,1549.0,-5.75,29.98999023,-2.055
47,1,151.0,-205.5,9.989997864,-0.0375
48,1,162.0,-258.0,149.98999019999997,-80.045
49,1,192.0,-32.25,99.98999023,-1.2375
50,1,985.0,25.25,29.98999023,-0.27
51,1,404.0,82.5,29.98999023,2.6525
52,1,389.0,-6.75,9.989997864,-1.0225
53,0,20.0,446.75,99.98999023,22.395
54,1,1646.0,-34.0,29.98999023,-1.4475
55,1,977.0,5.75,29.98999023,0.0375
56,1,528.0,49.75,9.989997864,-1.25
57,0,1536.0,-0.25,29.98999023,-0.18
58,1,1023.0,0.5,29.98999023,0.4625
59,0,1597.0,146.0,29.98999023,0.0
60,1,1150.0,-40.75,29.98999023,1.48
61,0,901.0,88.0,9.989997864,3.565
62,0,122.0,-30.75,129.9899902,-5.425
63,0,72.0,203.75,199.98999019999997,6.8825
64,0,37.0,15.0,129.9899902,1.98
65,0,530.0,75.75,29.98999023,-0.255
66,1,860.0,-35.5,59.98999023,-5.81
67,1,307.0,-230.5,299.98999019999997,0.0
68,1,1698.0,92.75,29.98999023,-0.495
69,1,873.0,-214.5,29.98999023,-3.46
70,0,86.0,367.0,79.98999023,-8.9275
71,1,226.0,-19.75,99.98999023,-0.675
72,0,1695.0,15.25,29.98999023,1.3125
73,0,492.0,-641.0,9.989997864,-29.7
74,0,100.0,-185.5,149.98999019999997,93.93
75,0,659.0,217.25,9.989997864,-8.565
76,1,309.0,-1080.0,29.98999023,-13.575
77,0,839.0,10.25,29.98999023,12.11
78,1,716.0,-16.0,29.98999023,-1.085
79,1,374.0,79.0,149.98999019999997,64.5625
80,0,163.0,-51.75,29.98999023,5.3625
81,1,376.0,0.0,9.989997864,0.0
82,0,47.0,-394.0,29.98999023,-36.2825
83,0,233.0,109.25,149.98999019999997,15.6
84,0,10.0,-165.25,199.98999019999997,24.65
85,0,175.0,-343.0,399.98999019999997,20.9
86,0,49.0,118.75,199.98999019999997,1.485
87,0,4.0,13.5,199.98999019999997,-3.075
88,0,350.0,299.0,29.98999023,-1.085
89,1,129.0,28.5,149.98999019999997,0.0
90,0,331.0,-86.0,39.98999023,-0.315
91,0,675.0,-30.75,9.989997864,-2.4825
92,0,146.0,-462.0,79.98999023,-76.29
93,0,158.0,-195.75,199.98999019999997,-0.7425
94,0,451.0,26.5,149.98999019999997,0.0
95,0,1583.0,19.25,29.98999023,4.0
96,0,527.0,20.5,129.9899902,0.0
97,1,807.0,-244.25,59.98999023,17.085
98,0,652.0,355.0,79.98999023,52.8975
99,0,161.0,58.5,149.98999019999997,-0.6075
100,1,460.0,109.0,199.98999019999997,-11.585
101,0,306.0,-176.75,79.98999023,17.9175
102,1,1475.0,308.5,29.98999023,51.25
103,1,163.0,110.0,199.98999019999997,-50.82
104,0,11.0,-13.5,199.98999019999997,16.4325
105,0,1116.0,78.0,29.98999023,34.0025
106,1,1599.0,224.75,29.98999023,-5.6225
107,1,693.0,-153.5,79.98999023,-28.14
108,0,240.0,-365.5,199.98999019999997,-95.445
109,1,314.0,-51.75,79.98999023,-7.295
110,0,452.0,-30.0,39.98999023,18.435
111,1,765.0,77.5,29.98999023,3.9
112,0,1515.0,-24.75,29.98999023,-0.27
113,1,263.0,-254.0,99.98999023,-18.48
114,0,387.0,-373.25,79.98999023,-16.3925
115,1,701.0,-174.0,29.98999023,-13.7125
116,0,135.0,-18.25,149.98999019999997,0.3975
117,0,133.0,-167.25,199.98999019999997,-19.22
118,0,773.0,183.5,9.989997864,-27.8125
119,1,206.0,-8.0,149.98999019999997,-1.26
120,0,1619.0,74.0,29.98999023,-2.51
121,0,168.0,-44.5,199.98999019999997,-2.595
122,1,336.0,-337.75,149.98999019999997,-57.53
123,1,318.0,-2238.75,199.98999019999997,-76.5275
124,0,586.0,-14.5,9.989997864,-1.56
125,0,430.0,-53.0,199.98999019999997,-0.495
126,0,581.0,-59.75,29.98999023,0.0
127,0,77.0,5.25,299.98999019999997,-76.39
